leaid,zip,state,county_fips,lat,lon
0800281,80543,CO,08123,40.555794,-104.383649
0800282,80922,CO,08041,38.827383,-104.527472
0800283,81631,CO,08037,39.630638,-106.692944
0800284,80107,CO,08039,39.310817,-104.117928
0800285,80906,CO,08041,38.827383,-104.527472
0800286,80236,CO,08031,39.761849,-104.880625
0800287,81003,CO,08101,38.170658,-104.489892
0800288,80443,CO,08117,39.621023,-106.137555
0800289,81611,CO,08097,39.217533,-106.915943
0800291,81301,CO,08067,37.287367,-107.839718
0800292,81635,CO,08045,39.599352,-107.90978
0800293,81635,CO,08045,39.599352,-107.90978
0801920,80920,CO,08041,38.827383,-104.527472
0801950,80022,CO,08001,39.874325,-104.331872
0801980,80101,CO,08039,39.310817,-104.117928
0802010,81020,CO,08071,37.318831,-104.04411
0802040,80720,CO,08121,39.965413,-103.209605
0802070,81101,CO,08003,37.568442,-105.788041
0802130,81120,CO,08021,37.213406,-106.176447
0802190,81147,CO,08007,37.202395,-107.050863
0802220,80801,CO,08121,39.965413,-103.209605
0802260,80815,CO,08063,39.30534,-102.603023
0802280,81611,CO,08097,39.217533,-106.915943
0802310,80610,CO,08123,40.555794,-104.383649
0802340,80011,CO,08005,39.644632,-104.331733
0802370,80421,CO,08093,39.118914,-105.717648
0802400,81122,CO,08067,37.287367,-107.839718
0802430,80102,CO,08001,39.874325,-104.331872
0802460,80805,CO,08063,39.30534,-102.603023
0802490,80303,CO,08013,40.094826,-105.398382
0802520,81027,CO,08071,37.318831,-104.04411
0802550,80611,CO,08123,40.555794,-104.383649
0802580,80601,CO,08001,39.874325,-104.331872
0802610,80723,CO,08087,40.262353,-103.807092
0802640,81211,CO,08015,38.738246,-106.316972
0802670,80807,CO,08063,39.30534,-102.603023
0802700,80103,CO,08005,39.644632,-104.331733
0802730,80808,CO,08041,38.827383,-104.527472
0802760,81029,CO,08009,37.303144,-102.535457
0802790,81212,CO,08043,38.455658,-105.421438
0802850,81125,CO,08109,38.033952,-106.246675
0802880,81030,CO,08089,37.88417,-103.72126
0802910,80111,CO,08005,39.644632,-104.331733
0802940,80905,CO,08041,38.827383,-104.527472
0803000,80452,CO,08019,39.689403,-105.670791
0803030,81624,CO,08077,39.019492,-108.461837
0803060,80903,CO,08041,38.827383,-104.527472
0803090,81321,CO,08083,37.338025,-108.595786
0803120,81223,CO,08043,38.455658,-105.421438
0803150,81130,CO,08079,37.651478,-106.9323
0803180,80813,CO,08119,38.871994,-105.182552
0803210,81063,CO,08025,38.321956,-103.787562
0803240,81630,CO,08077,39.019492,-108.461837
0803270,80105,CO,08005,39.644632,-104.331733
0803300,81132,CO,08105,37.485763,-106.453214
0803330,81416,CO,08029,38.861756,-107.864757
0803360,80203,CO,08031,39.761849,-104.880625
0803390,81323,CO,08083,37.338025,-108.595786
0803420,81324,CO,08033,37.747602,-108.530383
0803450,80108,CO,08035,39.326435,-104.926199
0803480,81301,CO,08067,37.287367,-107.839718
0803510,81036,CO,08061,38.388466,-102.75621
0803540,81631,CO,08037,39.630638,-106.692944
0803600,80615,CO,08123,40.555794,-104.383649
0803630,80864,CO,08041,38.827383,-104.527472
0803690,80106,CO,08041,38.827383,-104.527472
0803720,80107,CO,08039,39.310817,-104.117928
0803750,80808,CO,08041,38.827383,-104.527472
0803780,80110,CO,08005,39.644632,-104.331733
0803810,80517,CO,08069,40.663091,-105.482131
0803840,80440,CO,08093,39.118914,-105.717648
0803870,80831,CO,08041,38.827383,-104.527472
0803930,80728,CO,08075,40.728091,-103.090464
0803960,81226,CO,08043,38.455658,-105.421438
0803990,80521,CO,08069,40.663091,-105.482131
0804020,80621,CO,08123,40.555794,-104.383649
0804050,80701,CO,08087,40.262353,-103.807092
0804080,80817,CO,08041,38.827383,-104.527472
0804110,81039,CO,08089,37.88417,-103.72126
0804140,81123,CO,08023,37.277547,-105.42894
0804200,80623,CO,08123,40.555794,-104.383649
0804230,80422,CO,08047,39.861082,-105.528947
0804260,81601,CO,08045,39.599352,-107.90978
0804290,81041,CO,08099,37.958181,-102.392161
0804320,80446,CO,08049,40.123289,-106.095876
0804350,81501,CO,08077,39.019492,-108.461837
0804380,81635,CO,08045,39.599352,-107.90978
0804410,80631,CO,08123,40.555794,-104.383649
0804440,80729,CO,08123,40.555794,-104.383649
0804470,81230,CO,08051,38.669679,-107.078108
0804500,80928,CO,08041,38.827383,-104.527472
0804530,80905,CO,08041,38.827383,-104.527472
0804560,80731,CO,08095,40.594712,-102.345105
0804590,81639,CO,08107,40.48316,-106.985288
0804620,81235,CO,08053,37.811625,-107.383405
0804650,81082,CO,08071,37.318831,-104.04411
0804680,81047,CO,08099,37.958181,-102.392161
0804710,80734,CO,08095,40.594712,-102.345105
0804740,80821,CO,08073,38.99374,-103.507555
0804770,81137,CO,08067,37.287367,-107.839718
0804800,80401,CO,08059,39.58646,-105.245601
0804830,80543,CO,08123,40.555794,-104.383649
0804860,80737,CO,08115,40.871568,-102.355358
0804890,80823,CO,08073,38.99374,-103.507555
0804920,80643,CO,08123,40.555794,-104.383649
0804950,80644,CO,08123,40.555794,-104.383649
0804980,81049,CO,08071,37.318831,-104.04411
0805010,80117,CO,08039,39.310817,-104.117928
0805040,80825,CO,08017,38.835386,-102.604585
0805070,80459,CO,08049,40.123289,-106.095876
0805100,81140,CO,08021,37.213406,-106.176447
0805130,81050,CO,08089,37.88417,-103.72126
0805160,81055,CO,08055,37.687815,-104.959928
0805190,80461,CO,08065,39.204316,-106.349696
0805220,81052,CO,08099,37.958181,-102.392161
0805250,81054,CO,08011,37.931891,-103.077584
0805280,80828,CO,08073,38.99374,-103.507555
0805310,80120,CO,08005,39.644632,-104.331733
0805340,80743,CO,08121,39.965413,-103.209605
0805370,80501,CO,08013,40.094826,-105.398382
0805400,80537,CO,08069,40.663091,-105.482131
0805460,81328,CO,08083,37.338025,-108.595786
0805490,80829,CO,08041,38.827383,-104.527472
0805520,81058,CO,08089,37.88417,-103.72126
0805550,80221,CO,08001,39.874325,-104.331872
0805580,81057,CO,08011,37.931891,-103.077584
0805610,81641,CO,08103,39.972606,-108.200685
0805640,80741,CO,08075,40.728091,-103.090464
0805670,80833,CO,08041,38.827383,-104.527472
0805700,81143,CO,08109,38.033952,-106.246675
0805730,81625,CO,08081,40.573984,-108.204521
0805760,81144,CO,08105,37.485763,-106.453214
0805790,81401,CO,08085,38.413427,-108.263042
0805820,80132,CO,08041,38.827383,-104.527472
0805850,81424,CO,08085,38.413427,-108.263042
0805880,81423,CO,08113,38.009374,-108.427326
0805910,80467,CO,08107,40.48316,-106.985288
0805940,80743,CO,08121,39.965413,-103.209605
0805970,81427,CO,08091,38.1506,-107.767133
0806000,80744,CO,08115,40.871568,-102.355358
0806030,80747,CO,08075,40.728091,-103.090464
0806060,80831,CO,08041,38.827383,-104.527472
0806090,81064,CO,08009,37.303144,-102.535457
0806120,81003,CO,08101,38.170658,-104.489892
0806150,81001,CO,08101,38.170658,-104.489892
0806180,81648,CO,08103,39.972606,-108.200685
0806210,81432,CO,08091,38.1506,-107.767133
0806240,81650,CO,08045,39.599352,-107.90978
0806270,81067,CO,08089,37.88417,-103.72126
0806300,81149,CO,08109,38.033952,-106.246675
0806330,81201,CO,08015,38.738246,-106.316972
0806360,81152,CO,08023,37.277547,-105.42894
0806390,81151,CO,08021,37.213406,-106.176447
0806420,81146,CO,08003,37.568442,-105.788041
0806450,81144,CO,08105,37.485763,-106.453214
0806480,80911,CO,08041,38.827383,-104.527472
0806510,80834,CO,08063,39.30534,-102.603023
0806540,80110,CO,08005,39.644632,-104.331733
